Comunidad autónoma;Curso de ingreso;Años de duración;Sexo;Total
Canarias;2021-2022;3 años;Hombres;..
Canarias;2021-2022;3 años;Mujeres;..
Canarias;2021-2022;4 años;AMBOS SEXOS;..
Canarias;2021-2022;4 años;Hombres;..
Canarias;2021-2022;4 años;Mujeres;..
Canarias;2020-2021;TOTAL;AMBOS SEXOS;..
Canarias;2020-2021;TOTAL;Hombres;..
Canarias;2020-2021;TOTAL;Mujeres;..
Canarias;2020-2021;2 años;AMBOS SEXOS;46,4
Canarias;2020-2021;2 años;Hombres;41,0
Canarias;2020-2021;2 años;Mujeres;54,5
Canarias;2020-2021;3 años;AMBOS SEXOS;7,8
Canarias;2020-2021;3 años;Hombres;8,9
Canarias;2020-2021;3 años;Mujeres;6,2
Canarias;2020-2021;4 años;AMBOS SEXOS;..
Canarias;2020-2021;4 años;Hombres;..
Canarias;2020-2021;4 años;Mujeres;..
Canarias;2019-2020;TOTAL;AMBOS SEXOS;60,6
Canarias;2019-2020;TOTAL;Hombres;54,7
Canarias;2019-2020;TOTAL;Mujeres;69,2
Canarias;2019-2020;2 años;AMBOS SEXOS;49,2
Canarias;2019-2020;2 años;Hombres;42,4
Canarias;2019-2020;2 años;Mujeres;59,2
Canarias;2019-2020;3 años;AMBOS SEXOS;8,4
Canarias;2019-2020;3 años;Hombres;9,0
Canarias;2019-2020;3 años;Mujeres;7,5
Canarias;2019-2020;4 años;AMBOS SEXOS;3,0
Canarias;2019-2020;4 años;Hombres;3,3
Canarias;2019-2020;4 años;Mujeres;2,6
Canarias;2018-2019;TOTAL;AMBOS SEXOS;58,4
Canarias;2018-2019;TOTAL;Hombres;54,7
Canarias;2018-2019;TOTAL;Mujeres;63,6
Canarias;2018-2019;2 años;AMBOS SEXOS;41,6
Canarias;2018-2019;2 años;Hombres;36,6
Canarias;2018-2019;2 años;Mujeres;48,7
Canarias;2018-2019;3 años;AMBOS SEXOS;13,3
Canarias;2018-2019;3 años;Hombres;14,4
Canarias;2018-2019;3 años;Mujeres;11,8
Canarias;2018-2019;4 años;AMBOS SEXOS;3,5
Canarias;2018-2019;4 años;Hombres;3,8
Canarias;2018-2019;4 años;Mujeres;3,1
Canarias;2017-2018;TOTAL;AMBOS SEXOS;56,1
Canarias;2017-2018;TOTAL;Hombres;52,6
Canarias;2017-2018;TOTAL;Mujeres;61,1
Canarias;2017-2018;2 años;AMBOS SEXOS;43,7
Canarias;2017-2018;2 años;Hombres;39,5
Canarias;2017-2018;2 años;Mujeres;49,7
Canarias;2017-2018;3 años;AMBOS SEXOS;8,3
Canarias;2017-2018;3 años;Hombres;8,2
Canarias;2017-2018;3 años;Mujeres;8,5
Canarias;2017-2018;4 años;AMBOS SEXOS;4,1
Canarias;2017-2018;4 años;Hombres;4,8
Canarias;2017-2018;4 años;Mujeres;3,0
Canarias;2016-2017 (1);TOTAL;AMBOS SEXOS;53,1
Canarias;2016-2017 (1);TOTAL;Hombres;48,3
Canarias;2016-2017 (1);TOTAL;Mujeres;59,9
Canarias;2016-2017 (1);2 años;AMBOS SEXOS;41,6
Canarias;2016-2017 (1);2 años;Hombres;36,9
Canarias;2016-2017 (1);2 años;Mujeres;48,5
Canarias;2016-2017 (1);3 años;AMBOS SEXOS;8,9
Canarias;2016-2017 (1);3 años;Hombres;9,1
Canarias;2016-2017 (1);3 años;Mujeres;8,6
Canarias;2016-2017 (1);4 años;AMBOS SEXOS;2,5
Canarias;2016-2017 (1);4 años;Hombres;2,3
Canarias;2016-2017 (1);4 años;Mujeres;2,8
Cantabria;2021-2022;TOTAL;AMBOS SEXOS;..
Cantabria;2021-2022;TOTAL;Hombres;..
Cantabria;2021-2022;TOTAL;Mujeres;..
Cantabria;2021-2022;2 años;AMBOS SEXOS;46,7
Cantabria;2021-2022;2 años;Hombres;38,7
Cantabria;2021-2022;2 años;Mujeres;57,3
Cantabria;2021-2022;3 años;AMBOS SEXOS;..
Cantabria;2021-2022;3 años;Hombres;..
Cantabria;2021-2022;3 años;Mujeres;..
Cantabria;2021-2022;4 años;AMBOS SEXOS;..
Cantabria;2021-2022;4 años;Hombres;..
Cantabria;2021-2022;4 años;Mujeres;..
Cantabria;2020-2021;TOTAL;AMBOS SEXOS;..
Cantabria;2020-2021;TOTAL;Hombres;..
Cantabria;2020-2021;TOTAL;Mujeres;..
Cantabria;2020-2021;2 años;AMBOS SEXOS;49,4
Cantabria;2020-2021;2 años;Hombres;41,3
Cantabria;2020-2021;2 años;Mujeres;59,5
Cantabria;2020-2021;3 años;AMBOS SEXOS;15,2
Cantabria;2020-2021;3 años;Hombres;16,6
Cantabria;2020-2021;3 años;Mujeres;13,4
Cantabria;2020-2021;4 años;AMBOS SEXOS;..
Cantabria;2020-2021;4 años;Hombres;..
Cantabria;2020-2021;4 años;Mujeres;..
Cantabria;2019-2020;TOTAL;AMBOS SEXOS;70,1
Cantabria;2019-2020;TOTAL;Hombres;65,8
Cantabria;2019-2020;TOTAL;Mujeres;75,5
Cantabria;2019-2020;2 años;AMBOS SEXOS;48,7
Cantabria;2019-2020;2 años;Hombres;41,7
Cantabria;2019-2020;2 años;Mujeres;57,5
Cantabria;2019-2020;3 años;AMBOS SEXOS;16,2
Cantabria;2019-2020;3 años;Hombres;17,1
Cantabria;2019-2020;3 años;Mujeres;15,0
Cantabria;2019-2020;4 años;AMBOS SEXOS;5,3
Cantabria;2019-2020;4 años;Hombres;7,0
Cantabria;2019-2020;4 años;Mujeres;3,1
Cantabria;2018-2019;TOTAL;AMBOS SEXOS;66,1
Cantabria;2018-2019;TOTAL;Hombres;59,5
Cantabria;2018-2019;TOTAL;Mujeres;74,3
Cantabria;2018-2019;2 años;AMBOS SEXOS;39,1
Cantabria;2018-2019;2 años;Hombres;30,8
Cantabria;2018-2019;2 años;Mujeres;49,5
Cantabria;2018-2019;3 años;AMBOS SEXOS;21,2
Cantabria;2018-2019;3 años;Hombres;21,8
Cantabria;2018-2019;3 años;Mujeres;20,5
Cantabria;2018-2019;4 años;AMBOS SEXOS;5,7
Cantabria;2018-2019;4 años;Hombres;6,9
Cantabria;2018-2019;4 años;Mujeres;4,3
Cantabria;2017-2018;TOTAL;AMBOS SEXOS;66,0
Cantabria;2017-2018;TOTAL;Hombres;60,3
Cantabria;2017-2018;TOTAL;Mujeres;73,6
Cantabria;2017-2018;2 años;AMBOS SEXOS;44,8
Cantabria;2017-2018;2 años;Hombres;36,5
Cantabria;2017-2018;2 años;Mujeres;56,0
Cantabria;2017-2018;3 años;AMBOS SEXOS;14,0
Cantabria;2017-2018;3 años;Hombres;16,3
Cantabria;2017-2018;3 años;Mujeres;11,0
Cantabria;2017-2018;4 años;AMBOS SEXOS;7,1
Cantabria;2017-2018;4 años;Hombres;7,5
Cantabria;2017-2018;4 años;Mujeres;6,5
Cantabria;2016-2017 (1);TOTAL;AMBOS SEXOS;61,1
Cantabria;2016-2017 (1);TOTAL;Hombres;53,8
Cantabria;2016-2017 (1);TOTAL;Mujeres;71,4
Cantabria;2016-2017 (1);2 años;AMBOS SEXOS;39,6
Cantabria;2016-2017 (1);2 años;Hombres;30,9
Cantabria;2016-2017 (1);2 años;Mujeres;51,8
Cantabria;2016-2017 (1);3 años;AMBOS SEXOS;16,2
Cantabria;2016-2017 (1);3 años;Hombres;16,8
Cantabria;2016-2017 (1);3 años;Mujeres;15,5
Cantabria;2016-2017 (1);4 años;AMBOS SEXOS;5,3
Cantabria;2016-2017 (1);4 años;Hombres;6,1
Cantabria;2016-2017 (1);4 años;Mujeres;4,1
Castilla y León;2021-2022;TOTAL;AMBOS SEXOS;..
Castilla y León;2021-2022;TOTAL;Hombres;..
Castilla y León;2021-2022;TOTAL;Mujeres;..
Castilla y León;2021-2022;2 años;AMBOS SEXOS;42,2
Castilla y León;2021-2022;2 años;Hombres;38,8
Castilla y León;2021-2022;2 años;Mujeres;47,3
Castilla y León;2021-2022;3 años;AMBOS SEXOS;..
Castilla y León;2021-2022;3 años;Hombres;..
Castilla y León;2021-2022;3 años;Mujeres;..
Castilla y León;2021-2022;4 años;AMBOS SEXOS;..
Castilla y León;2021-2022;4 años;Hombres;..
Castilla y León;2021-2022;4 años;Mujeres;..
Castilla y León;2020-2021;TOTAL;AMBOS SEXOS;..
Castilla y León;2020-2021;TOTAL;Hombres;..
Castilla y León;2020-2021;TOTAL;Mujeres;..
Castilla y León;2020-2021;2 años;AMBOS SEXOS;42,6
Castilla y León;2020-2021;2 años;Hombres;38,7
Castilla y León;2020-2021;2 años;Mujeres;48,2
Castilla y León;2020-2021;3 años;AMBOS SEXOS;14,9
Castilla y León;2020-2021;3 años;Hombres;15,6
Castilla y León;2020-2021;3 años;Mujeres;13,9
Castilla y León;2020-2021;4 años;AMBOS SEXOS;..
Castilla y León;2020-2021;4 años;Hombres;..
Castilla y León;2020-2021;4 años;Mujeres;..
Castilla y León;2019-2020;TOTAL;AMBOS SEXOS;64,6
Castilla y León;2019-2020;TOTAL;Hombres;60,8
Castilla y León;2019-2020;TOTAL;Mujeres;69,6
Castilla y León;2019-2020;2 años;AMBOS SEXOS;43,8
Castilla y León;2019-2020;2 años;Hombres;39,3
Castilla y León;2019-2020;2 años;Mujeres;49,9
Castilla y León;2019-2020;3 años;AMBOS SEXOS;15,4
Castilla y León;2019-2020;3 años;Hombres;15,8
Castilla y León;2019-2020;3 años;Mujeres;14,7
Castilla y León;2019-2020;4 años;AMBOS SEXOS;5,4
Castilla y León;2019-2020;4 años;Hombres;5,7
Castilla y León;2019-2020;4 años;Mujeres;5,0
Castilla y León;2018-2019;TOTAL;AMBOS SEXOS;61,7
Castilla y León;2018-2019;TOTAL;Hombres;59,5
Castilla y León;2018-2019;TOTAL;Mujeres;64,7
Castilla y León;2018-2019;2 años;AMBOS SEXOS;35,5
Castilla y León;2018-2019;2 años;Hombres;32,1
Castilla y León;2018-2019;2 años;Mujeres;40,3
Castilla y León;2018-2019;3 años;AMBOS SEXOS;19,8
Castilla y León;2018-2019;3 años;Hombres;20,7
Castilla y León;2018-2019;3 años;Mujeres;18,6
Castilla y León;2018-2019;4 años;AMBOS SEXOS;6,4
Castilla y León;2018-2019;4 años;Hombres;6,8
Castilla y León;2018-2019;4 años;Mujeres;5,9
Castilla y León;2017-2018;TOTAL;AMBOS SEXOS;59,7
Castilla y León;2017-2018;TOTAL;Hombres;55,3
Castilla y León;2017-2018;TOTAL;Mujeres;65,5
Castilla y León;2017-2018;2 años;AMBOS SEXOS;40,6
Castilla y León;2017-2018;2 años;Hombres;35,4
Castilla y León;2017-2018;2 años;Mujeres;47,6
Castilla y León;2017-2018;3 años;AMBOS SEXOS;11,8
Castilla y León;2017-2018;3 años;Hombres;11,9
Castilla y León;2017-2018;3 años;Mujeres;11,7
Castilla y León;2017-2018;4 años;AMBOS SEXOS;7,3
Castilla y León;2017-2018;4 años;Hombres;8,0
Castilla y León;2017-2018;4 años;Mujeres;6,3
Castilla y León;2016-2017 (1);TOTAL;AMBOS SEXOS;56,7
Castilla y León;2016-2017 (1);TOTAL;Hombres;53,7
Castilla y León;2016-2017 (1);TOTAL;Mujeres;60,5
Castilla y León;2016-2017 (1);2 años;AMBOS SEXOS;37,4
Castilla y León;2016-2017 (1);2 años;Hombres;33,0
Castilla y León;2016-2017 (1);2 años;Mujeres;43,0
Castilla y León;2016-2017 (1);3 años;AMBOS SEXOS;14,7
Castilla y León;2016-2017 (1);3 años;Hombres;15,5
Castilla y León;2016-2017 (1);3 años;Mujeres;13,7
Castilla y León;2016-2017 (1);4 años;AMBOS SEXOS;4,6
Castilla y León;2016-2017 (1);4 años;Hombres;5,2
Castilla y León;2016-2017 (1);4 años;Mujeres;3,8
Castilla-La Mancha;2021-2022;TOTAL;AMBOS SEXOS;..
Castilla-La Mancha;2021-2022;TOTAL;Hombres;..
Castilla-La Mancha;2021-2022;TOTAL;Mujeres;..
Castilla-La Mancha;2021-2022;2 años;AMBOS SEXOS;49,3
Castilla-La Mancha;2021-2022;2 años;Hombres;43,0
Castilla-La Mancha;2021-2022;2 años;Mujeres;58,1
Castilla-La Mancha;2021-2022;3 años;AMBOS SEXOS;..
Castilla-La Mancha;2021-2022;3 años;Hombres;..
Castilla-La Mancha;2021-2022;3 años;Mujeres;..
Castilla-La Mancha;2021-2022;4 años;AMBOS SEXOS;..
Castilla-La Mancha;2021-2022;4 años;Hombres;..
Castilla-La Mancha;2021-2022;4 años;Mujeres;..
Castilla-La Mancha;2020-2021;TOTAL;AMBOS SEXOS;..
Castilla-La Mancha;2020-2021;TOTAL;Hombres;..
Castilla-La Mancha;2020-2021;TOTAL;Mujeres;..
Castilla-La Mancha;2020-2021;2 años;AMBOS SEXOS;46,6
Castilla-La Mancha;2020-2021;2 años;Hombres;41,3
Castilla-La Mancha;2020-2021;2 años;Mujeres;54,0
Castilla-La Mancha;2020-2021;3 años;AMBOS SEXOS;13,6
Castilla-La Mancha;2020-2021;3 años;Hombres;13,5
Castilla-La Mancha;2020-2021;3 años;Mujeres;13,7
Castilla-La Mancha;2020-2021;4 años;AMBOS SEXOS;..
Castilla-La Mancha;2020-2021;4 años;Hombres;..
Castilla-La Mancha;2020-2021;4 años;Mujeres;..
Castilla-La Mancha;2019-2020;TOTAL;AMBOS SEXOS;72,1
Castilla-La Mancha;2019-2020;TOTAL;Hombres;66,9
Castilla-La Mancha;2019-2020;TOTAL;Mujeres;79,5
Castilla-La Mancha;2019-2020;2 años;AMBOS SEXOS;52,6
Castilla-La Mancha;2019-2020;2 años;Hombres;45,3
Castilla-La Mancha;2019-2020;2 años;Mujeres;63,0
Castilla-La Mancha;2019-2020;3 años;AMBOS SEXOS;15,1
Castilla-La Mancha;2019-2020;3 años;Hombres;16,6
Castilla-La Mancha;2019-2020;3 años;Mujeres;12,9
Castilla-La Mancha;2019-2020;4 años;AMBOS SEXOS;4,5
Castilla-La Mancha;2019-2020;4 años;Hombres;5,0
Castilla-La Mancha;2019-2020;4 años;Mujeres;3,6
Castilla-La Mancha;2018-2019;TOTAL;AMBOS SEXOS;63,7
Castilla-La Mancha;2018-2019;TOTAL;Hombres;59,8
Castilla-La Mancha;2018-2019;TOTAL;Mujeres;68,8
Castilla-La Mancha;2018-2019;2 años;AMBOS SEXOS;38,9
Castilla-La Mancha;2018-2019;2 años;Hombres;34,6
Castilla-La Mancha;2018-2019;2 años;Mujeres;44,3
Castilla-La Mancha;2018-2019;3 años;AMBOS SEXOS;19,4
Castilla-La Mancha;2018-2019;3 años;Hombres;19,1
Castilla-La Mancha;2018-2019;3 años;Mujeres;19,7
Castilla-La Mancha;2018-2019;4 años;AMBOS SEXOS;5,5
Castilla-La Mancha;2018-2019;4 años;Hombres;6,1
Castilla-La Mancha;2018-2019;4 años;Mujeres;4,8
Castilla-La Mancha;2017-2018;TOTAL;AMBOS SEXOS;62,8
Castilla-La Mancha;2017-2018;TOTAL;Hombres;58,7
Castilla-La Mancha;2017-2018;TOTAL;Mujeres;68,4
Castilla-La Mancha;2017-2018;2 años;AMBOS SEXOS;41,8
Castilla-La Mancha;2017-2018;2 años;Hombres;37,0
Castilla-La Mancha;2017-2018;2 años;Mujeres;48,2
Castilla-La Mancha;2017-2018;3 años;AMBOS SEXOS;13,6
Castilla-La Mancha;2017-2018;3 años;Hombres;13,9
Castilla-La Mancha;2017-2018;3 años;Mujeres;13,1
Castilla-La Mancha;2017-2018;4 años;AMBOS SEXOS;7,5
Castilla-La Mancha;2017-2018;4 años;Hombres;7,8
Castilla-La Mancha;2017-2018;4 años;Mujeres;7,1
Castilla-La Mancha;2016-2017 (1);TOTAL;AMBOS SEXOS;60,3
Castilla-La Mancha;2016-2017 (1);TOTAL;Hombres;55,5
Castilla-La Mancha;2016-2017 (1);TOTAL;Mujeres;66,1
Castilla-La Mancha;2016-2017 (1);2 años;AMBOS SEXOS;41,1
Castilla-La Mancha;2016-2017 (1);2 años;Hombres;36,1
Castilla-La Mancha;2016-2017 (1);2 años;Mujeres;47,3
Castilla-La Mancha;2016-2017 (1);3 años;AMBOS SEXOS;13,6
Castilla-La Mancha;2016-2017 (1);3 años;Hombres;14,1
Castilla-La Mancha;2016-2017 (1);3 años;Mujeres;13,1
Castilla-La Mancha;2016-2017 (1);4 años;AMBOS SEXOS;5,5
Castilla-La Mancha;2016-2017 (1);4 años;Hombres;5,3
Castilla-La Mancha;2016-2017 (1);4 años;Mujeres;5,8
Cataluña;2021-2022;TOTAL;AMBOS SEXOS;..
Cataluña;2021-2022;TOTAL;Hombres;..
Cataluña;2021-2022;TOTAL;Mujeres;..
Cataluña;2021-2022;2 años;AMBOS SEXOS;64,4
Cataluña;2021-2022;2 años;Hombres;59,4
Cataluña;2021-2022;2 años;Mujeres;69,3
Cataluña;2021-2022;3 años;AMBOS SEXOS;..
Cataluña;2021-2022;3 años;Hombres;..
Cataluña;2021-2022;3 años;Mujeres;..
Cataluña;2021-2022;4 años;AMBOS SEXOS;..
Cataluña;2021-2022;4 años;Hombres;..
Cataluña;2021-2022;4 años;Mujeres;..
Cataluña;2020-2021;TOTAL;AMBOS SEXOS;..
Cataluña;2020-2021;TOTAL;Hombres;..
Cataluña;2020-2021;TOTAL;Mujeres;..
Cataluña;2020-2021;2 años;AMBOS SEXOS;55,0
Cataluña;2020-2021;2 años;Hombres;49,6
Cataluña;2020-2021;2 años;Mujeres;62,6
Cataluña;2020-2021;3 años;AMBOS SEXOS;9,3
Cataluña;2020-2021;3 años;Hombres;9,8
Cataluña;2020-2021;3 años;Mujeres;8,6
Cataluña;2020-2021;4 años;AMBOS SEXOS;..
Cataluña;2020-2021;4 años;Hombres;..
Cataluña;2020-2021;4 años;Mujeres;..
Cataluña;2019-2020;TOTAL;AMBOS SEXOS;67,5
Cataluña;2019-2020;TOTAL;Hombres;63,7
Cataluña;2019-2020;TOTAL;Mujeres;72,9
Cataluña;2019-2020;2 años;AMBOS SEXOS;54,0
Cataluña;2019-2020;2 años;Hombres;48,9
Cataluña;2019-2020;2 años;Mujeres;61,2
Cataluña;2019-2020;3 años;AMBOS SEXOS;10,4
Cataluña;2019-2020;3 años;Hombres;11,1
Cataluña;2019-2020;3 años;Mujeres;9,3
Cataluña;2019-2020;4 años;AMBOS SEXOS;3,2
Cataluña;2019-2020;4 años;Hombres;3,7
Cataluña;2019-2020;4 años;Mujeres;2,4
Cataluña;2018-2019;TOTAL;AMBOS SEXOS;65,6
Cataluña;2018-2019;TOTAL;Hombres;61,2
Cataluña;2018-2019;TOTAL;Mujeres;71,9
Cataluña;2018-2019;2 años;AMBOS SEXOS;50,8
Cataluña;2018-2019;2 años;Hombres;46,0
Cataluña;2018-2019;2 años;Mujeres;57,7
Cataluña;2018-2019;3 años;AMBOS SEXOS;11,2
Cataluña;2018-2019;3 años;Hombres;11,2
Cataluña;2018-2019;3 años;Mujeres;11,2
Cataluña;2018-2019;4 años;AMBOS SEXOS;3,6
Cataluña;2018-2019;4 años;Hombres;4,0
Cataluña;2018-2019;4 años;Mujeres;3,0
Cataluña;2017-2018;TOTAL;AMBOS SEXOS;63,1
Cataluña;2017-2018;TOTAL;Hombres;58,6
Cataluña;2017-2018;TOTAL;Mujeres;69,4
Cataluña;2017-2018;2 años;AMBOS SEXOS;46,3
Cataluña;2017-2018;2 años;Hombres;40,9
Cataluña;2017-2018;2 años;Mujeres;53,9
Cataluña;2017-2018;3 años;AMBOS SEXOS;13,2
Cataluña;2017-2018;3 años;Hombres;13,7
Cataluña;2017-2018;3 años;Mujeres;12,6
Cataluña;2017-2018;4 años;AMBOS SEXOS;3,6
Cataluña;2017-2018;4 años;Hombres;4,1
Cataluña;2017-2018;4 años;Mujeres;3,0
Cataluña;2016-2017 (1);TOTAL;AMBOS SEXOS;61,2
Cataluña;2016-2017 (1);TOTAL;Hombres;57,3
Cataluña;2016-2017 (1);TOTAL;Mujeres;66,5
Cataluña;2016-2017 (1);2 años;AMBOS SEXOS;44,0
Cataluña;2016-2017 (1);2 años;Hombres;38,6
Cataluña;2016-2017 (1);2 años;Mujeres;51,3
Cataluña;2016-2017 (1);3 años;AMBOS SEXOS;12,4
Cataluña;2016-2017 (1);3 años;Hombres;13,0
Cataluña;2016-2017 (1);3 años;Mujeres;11,6
Cataluña;2016-2017 (1);4 años;AMBOS SEXOS;4,8
Cataluña;2016-2017 (1);4 años;Hombres;5,7
Cataluña;2016-2017 (1);4 años;Mujeres;3,6
Comunitat Valenciana;2021-2022;TOTAL;AMBOS SEXOS;..
Comunitat Valenciana;2021-2022;TOTAL;Hombres;..
Comunitat Valenciana;2021-2022;TOTAL;Mujeres;..
Comunitat Valenciana;2021-2022;2 años;AMBOS SEXOS;52,9
Comunitat Valenciana;2021-2022;2 años;Hombres;45,5
Comunitat Valenciana;2021-2022;2 años;Mujeres;62,0
Comunitat Valenciana;2021-2022;3 años;AMBOS SEXOS;..
Comunitat Valenciana;2021-2022;3 años;Hombres;..
Comunitat Valenciana;2021-2022;3 años;Mujeres;..
Comunitat Valenciana;2021-2022;4 años;AMBOS SEXOS;..
Comunitat Valenciana;2021-2022;4 años;Hombres;..
